File,Latitude Start,Longitude Start,Depth,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Salinity Sensor,Oxygen Sensor,Nitrate Sensor,Chlorophyll Sensor
ERR562588,-30.1367,-43.2899,5,0.8,5,19.854083,36.32425,221.47475,-0.385346,0.053173
ERR562558,37.0299,1.9575,5,20,180,23.82575,37.4911,,,0.0812
ERR562591,19.0393,64.4913,5,20,180,26.2314,36.617917,199.9355,0.889376,0.161808
ERR562643,35.759,14.2574,5,0.8,5,21.4395,37.89245,207.791417,,0.048898
ERR562637,-8.8932,-140.2879,5,180,2000,26.63952,35.35772,189.8109,5.321003,0.162506
ERR562555,18.4417,39.8567,60,0.8,5,27.589917,38.916583,175.384083,0.08645,0.181406
ERR562561,18.4417,39.8567,60,0.8,5,27.589917,38.916583,175.384083,0.08645,0.181406
ERR562446,-8.957,-139.2422,115,180,2000,24.662673,36.088963,177.603609,3.873943,0.288679
ERR562659,0.0033,71.6428,5,0.8,5,30.496383,35.091133,185.243833,2.575786,0.026898
ERR562457,-34.9449,17.9189,5,0.8,5,15.033492,35.323317,238.916333,2.450991,0.250054
ERR562686,0.2153,71.8436,5,180,2000,30.496383,35.091133,185.243833,2.575786,0.026898
ERR562528,36.5533,-6.5669,40,180,2000,16.246331,36.556443,,,0.880307
ERR562565,-21.0292,-35.3498,150,0.8,2000,21.643283,36.724683,203.814833,0.580918,0.150865
ERR562396,19.0393,64.4913,5,5,20,26.2314,36.617917,199.9355,0.889376,0.161808
ERR562505,-20.3943,-3.2085,5,20,180,19.776808,36.376225,215.650833,0.168013,0.324315
ERR562533,42.1694,17.7179,50,20,180,15.868114,38.340893,226.595929,,0.0774
ERR562717,-35.2421,26.3048,30,5,20,21.81495,,206.43725,,0.272648
ERR562415,-29.5333,37.9117,65,0.8,5,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562660,-34.8901,18.0459,30,0.8,5,15.01895,35.3315,240.4135,,0.424363
ERR562562,38.4735,20.1718,5,20,180,19.168658,38.356667,212.903417,,0.121845
ERR562546,-47.2007,-57.9446,40,5,20,6.975635,34.057594,306.211529,17.111823,1.01772
ERR562507,5.9998,73.9067,80,5,20,27.723425,35.103505,132.77885,0.569531,0.388348
ERR562519,-29.4991,37.9938,5,5,20,22.222092,35.3215,209.639083,-0.166794,0.118772
ERR562567,-34.8901,18.0459,30,5,20,15.01895,35.3315,240.4135,,0.424363
ERR562587,6.0001,73.8955,5,5,20,29.980283,34.56155,189.25475,-1.47882,0.006724
ERR562369,-34.8901,18.0459,30,0.8,5,15.01895,35.3315,240.4135,,0.424363
ERR562647,-8.7789,-17.9099,5,0.8,5,25.02619,36.42324,199.1195,0.263475,0.050608
ERR562466,27.16,27.1433,5,0.8,20,25.0621,39.981867,188.763583,-0.137284,0.048898
ERR562680,-30.1484,-43.2705,120,0.8,2000,19.30925,36.27495,217.140667,0.478929,0.226052
ERR562603,-30.1484,-43.2705,120,0.8,5,19.30925,36.27495,217.140667,0.478929,0.226052
ERR562664,-8.9068,-140.283,5,0.8,5,26.576175,35.359483,189.758333,3.868407,0.319103
ERR562394,36.5533,-6.5669,5,5,20,20.5251,36.6324,,,0.078
ERR562571,42.1916,17.7175,5,180,2000,17.636575,38.187633,220.000333,,0.0562
ERR562373,39.3991,19.3997,50,0.8,5,15.161277,38.475705,229.547682,,0.201016
ERR562638,-13.0023,-95.9759,5,0.8,5,25.2512,35.835267,200.233917,4.590737,0.287892
ERR562499,-9.006,-139.206,5,20,180,26.5644,35.363833,186.984333,5.948386,0.138982
ERR562627,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562480,-9.0063,-139.1394,115,0.8,5,24.69625,36.097575,179.916875,2.333576,0.295808
ERR562380,-12.9723,-96.0122,50,0.8,2000,20.649431,35.544655,216.790338,1.501977,0.366887
ERR562393,14.6059,69.9776,5,5,20,29.089367,36.024883,187.42925,-1.343153,0.020173
ERR562389,-8.9063,-142.6124,150,180,2000,21.184091,35.885595,156.556136,5.30541,0.011004
ERR562465,18.5745,66.4895,25,20,180,26.897,36.2986,193.990333,-1.006357,0.134262
ERR562600,-25.8051,-111.7202,5,5,20,25.14875,36.402683,200.538167,-1.567491,0.013449
ERR562425,37.0112,1.946,42,20,180,17.172933,37.102133,,,0.2992
ERR562450,18.5745,66.4895,25,20,180,26.897,36.2986,193.990333,-1.006357,0.134262
ERR562485,18.5745,66.4895,25,20,180,26.897,36.2986,193.990333,-1.006357,0.134262
ERR562724,2.815,71.534,5,0.8,20,,,,,
ERR562573,34.4933,14.9133,5,20,180,21.472817,38.378467,197.550333,,0.048936
ERR562640,19.0284,64.5126,25,0.8,5,25.494408,,154.699917,1.230122,0.604752
ERR562706,14.5536,70.0128,60,0.8,5,27.117663,36.496162,148.328125,-0.224514,0.47554
ERR562618,33.9235,32.8118,70,0.8,5,18.979535,39.255952,218.132538,0.254406,0.042495
ERR562694,23.4183,37.245,80,5,20,26.050367,40.196433,179.968,1.201064,0.224444
ERR562429,-8.7789,-17.9099,5,0.8,2000,25.02619,36.42324,199.1195,0.263475,0.050608
ERR562650,-47.2116,-58.0266,30,180,2000,7.046693,34.055993,307.504714,17.119294,0.787841
ERR562498,34.453,14.9538,5,0.8,5,21.472817,38.378467,197.550333,,0.048936
ERR562568,-8.9971,-139.1963,5,0.8,2000,26.54413,35.3662,186.2407,3.986359,0.166512
ERR562578,-8.892,-142.6358,5,180,2000,26.869383,35.4224,187.791167,6.03141,0.124746
ERR562471,33.9179,32.898,5,0.8,5,20.460612,39.425208,207.738375,-0.447961,0.01585
ERR562689,-8.9109,-140.2845,150,0.8,2000,22.1151,35.88072,161.3185,5.023264,0.051638
ERR562473,-60.3046,-60.5715,5,20,180,1.84402,33.71972,338.2982,24.423039,0.109555
ERR562439,39.8386,17.4155,5,5,20,17.041483,37.759667,220.927083,,0.180911
ERR562523,18.5584,66.4725,25,180,2000,26.748267,36.369233,192.536833,-0.737324,0.242524
ERR562714,-16.9567,53.9809,5,180,2000,27.8684,34.566667,191.68,,0.176565
ERR562404,-62.0385,-49.529,5,0.8,2000,0.67108,34.35388,343.4373,27.501159,0.065273
ERR562675,39.814,17.4138,5,20,180,17.476925,37.885492,221.749417,,0.223928
ERR562553,-5.2669,-85.2732,40,0.8,5,19.566255,34.900284,103.916711,20.328327,0.728939
ERR562559,18.5743,66.5029,5,180,2000,27.2061,36.2858,192.8985,-0.306531,0.093048
ERR562684,-8.7277,-17.9235,5,5,20,25.1323,36.425925,199.346583,0.196821,0.020173
ERR562476,-32.1745,17.6991,5,20,180,12.881967,34.849892,250.060667,0.517466,1.331539
ERR562376,-47.1966,-58.2349,5,20,180,7.321517,34.048642,305.012167,17.091069,0.310844
ERR562563,-8.7726,-17.915,5,180,2000,25.02619,36.42324,199.1195,0.263475,0.050608
ERR562458,-29.5015,37.9946,65,180,2000,22.251442,35.323007,210.496347,,0.145993
ERR562511,-16.9538,54.0043,75,180,2000,24.996193,34.896236,193.505143,0.244232,0.389946
ERR562708,39.3833,19.4183,50,180,2000,15.017462,38.504475,227.392625,,0.166266
ERR562494,-62.21,-49.2245,90,5,20,-0.763194,34.401487,328.773687,32.620907,0.383883
ERR562447,33.9235,32.8118,70,5,20,18.979535,39.255952,218.132538,0.254406,0.042495
ERR562586,-8.9056,-140.2792,5,20,180,26.63952,35.35772,189.8109,5.321003,0.162506
ERR562518,-9.1504,-140.5216,5,0.8,2000,26.518986,35.396729,190.724,5.111856,0.286662
ERR562445,-31.027,4.6802,50,5,20,16.787411,35.687803,231.683361,,0.42458
ERR562613,20.8183,63.5047,5,20,180,25.581433,36.530058,104.908417,,0.129697
ERR562472,42.1735,17.7175,5,20,180,17.007383,38.215158,222.914083,,0.0276
ERR562409,-62.1943,-49.2502,90,180,2000,-0.819633,34.402633,327.691,30.517743,0.432668
ERR562398,-9.3921,66.4228,5,0.8,20,29.818233,34.1689,187.2575,-2.201764,0
ERR562417,35.7528,14.2765,80,20,180,,,,,
ERR562545,37.018,1.9476,42,180,2000,17.172933,37.102133,,,0.2992
ERR562556,-5.2669,-85.2732,40,5,20,19.566255,34.900284,103.916711,20.328327,0.728939
ERR562620,-5.252,-85.2052,5,5,20,24.943108,34.748175,205.992583,11.688971,0.238224
ERR562622,-5.2692,-85.2121,40,180,2000,22.4492,34.845044,146.1265,14.653889,0.675201
ERR562652,23.36,37.2183,5,20,180,25.824383,39.74725,188.416583,-0.541919,0
ERR562572,-8.8999,-142.5461,140,0.8,2000,23.706525,36.272675,160.4895,3.67243,0.020173
ERR562503,-60.4016,-60.4488,5,5,20,1.954067,,338.73025,25.534528,0.065568
ERR562645,18.5745,66.4895,25,20,180,26.897,36.2986,193.990333,-1.006357,0.134262
ERR562517,-5.2529,-85.1545,5,0.8,5,24.943108,34.748175,205.992583,11.688971,0.238224
ERR562601,-20.4107,-3.1775,5,5,20,19.858933,36.374733,215.848333,0.947728,0.186762
ERR562715,-20.4035,-3.1859,5,180,2000,19.776808,36.376225,215.650833,0.168013,0.324315
ERR562497,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562434,-16.957,53.9801,5,0.8,5,27.8684,34.566667,191.68,,0.176565
ERR562490,-60.2584,-60.6226,5,180,2000,1.84402,33.71972,338.2982,24.423039,0.109555
ERR562370,2.0218,-84.5652,40,20,180,27.61049,33.46018,203.11935,1.072909,0.321279
ERR562593,18.5743,66.5029,5,180,2000,27.2061,36.2858,192.8985,-0.306531,0.093048
ERR562701,18.5584,66.4725,25,180,2000,26.748267,36.369233,192.536833,-0.737324,0.242524
ERR562728,21.9467,38.2517,5,0.8,20,27.329517,38.937417,182.812167,-0.000271,0.163228
ERR562428,37.0242,1.9486,5,180,2000,23.78695,37.53905,,,0.0298
ERR562481,5.9994,73.8978,80,20,180,27.50415,35.2057,111.51025,0.788282,0.36022
ERR562489,19.0199,64.5315,25,180,2000,25.97815,,159.877833,1.056661,0.606464
ERR562687,18.4417,39.8567,60,5,20,27.589917,38.916583,175.384083,0.08645,0.181406
ERR562530,37.051,1.9378,5,0.8,5,23.82575,37.4911,,,0.0812
ERR562707,18.5743,66.5029,5,180,2000,27.2061,36.2858,192.8985,-0.306531,0.093048
ERR562464,39.0609,5.9422,55,5,20,16.151933,37.8232,,,0.434367
ERR562437,-8.9111,-142.5571,5,0.8,2000,26.780158,35.427733,187.302833,4.985942,0.233673
ERR562468,-20.9724,-35.2724,5,5,20,23.366483,37.084467,206.1265,0.030608,0
ERR562617,18.5743,66.5029,5,180,2000,27.2061,36.2858,192.8985,-0.306531,0.093048
ERR562426,-60.2287,-60.6476,5,0.8,2000,1.84402,33.71972,338.2982,24.423039,0.109555
ERR562419,-30.1506,-43.2877,5,180,2000,19.854083,36.32425,221.47475,-0.385346,0.053173
ERR562470,18.4417,39.8567,60,0.8,5,27.589917,38.916583,175.384083,0.08645,0.181406
ERR562609,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562682,-20.9406,-35.196,5,180,2000,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562414,34.4064,15.043,5,180,2000,,,,,
ERR562408,-20.9514,-35.2273,5,20,180,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562441,-9.1504,-140.5216,5,0.22,3,26.518986,35.396729,190.724,5.111856,0.286662
ERR562665,20.8183,63.5047,5,0.8,5,25.581433,36.530058,104.908417,,0.129697
ERR562716,-30.1367,-43.2899,5,0.8,2000,19.854083,36.32425,221.47475,-0.385346,0.053173
ERR562500,-25.8051,-111.7202,5,0.8,5,25.14875,36.402683,200.538167,-1.567491,0.013449
ERR562377,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562663,-8.8995,-140.2866,150,180,2000,,,,,
ERR562725,-8.903,-140.2801,0-150,5,20,,,,,
ERR562726,37.0541,1.9478,42,0.8,5,17.36746,,,,0.553274
ERR562673,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562362,42.4593,17.9594,5,180,2000,18.622617,37.929742,217.561083,,0.219085
ERR562461,-16.9601,-100.6335,5,0.8,2000,22.76873,35.97144,208.8654,2.568726,0.203347
ERR562391,19.0393,64.4913,5,0.8,5,26.2314,36.617917,199.9355,0.889376,0.161808
ERR562552,36.5533,-6.5669,40,0.8,5,20.408907,36.63313,,,0.090621
ERR562539,-5.2514,-85.1696,5,20,180,24.943108,34.748175,205.992583,11.688971,0.238224
ERR562453,20.8215,63.512,5,180,2000,25.84865,36.530908,211.5675,0.343943,0.160363
ERR562696,-25.826,-111.7294,188,0.8,5,20.171605,35.845669,210.5781,-0.73316,0.176523
ERR562590,41.6686,2.7996,5,0.8,2000,,,,,
ERR562385,-47.1863,-58.2902,5,0.8,5,7.321517,34.048642,305.012167,17.091069,0.310844
ERR562443,23.36,37.2183,5,5,20,25.824383,39.74725,188.416583,-0.541919,0
ERR562569,20.8222,63.5133,17,5,20,25.37395,36.549267,211.606583,0.367767,0.353707
ERR562672,2.0399,-84.5599,5,5,20,27.902167,33.17585,199.898917,0.451517,0.201947
ERR562418,42.4552,17.9348,5,0.8,20,18.142625,38.114217,218.536917,,0.151466
ERR562644,1.9958,-84.576,5,20,180,27.617558,33.3676,198.635833,1.210114,0.28167
ERR562442,20.8116,63.5128,20,20,180,25.268343,36.545436,208.654571,0.387014,0.489547
ERR562704,19.0284,64.5126,25,5,20,25.494408,,154.699917,1.230122,0.604752
ERR562648,-31.0551,4.668,5,20,180,16.948525,35.690458,234.236,2.096308,0.545147
ERR562364,39.8386,17.4155,5,0.8,5,17.041483,37.759667,220.927083,,0.180911
ERR562608,39.3885,19.3906,5,20,180,18.342533,38.182917,218.016833,,0.121845
ERR562589,-12.9214,-96.0953,50,180,2000,19.431989,35.43615,224.853222,0.369746,0.389897
ERR562395,5.9996,73.8994,80,180,2000,27.944825,35.257125,112.2575,0.890848,0.384299
ERR562605,18.5743,66.5029,5,180,2000,27.2061,36.2858,192.8985,-0.306531,0.093048
ERR562606,18.5918,66.622,5,5,20,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562711,18.4917,39.8583,60,180,2000,27.588632,38.834904,178.256286,-0.148095,0.159383
ERR562371,38.4761,20.1705,5,0.8,20,19.168658,38.356667,212.903417,,0.121845
ERR562400,6.0098,74.0607,5,180,2000,29.980283,34.56155,189.25475,-1.47882,0.006724
ERR562482,18.3967,39.8767,5,20,180,27.59865,38.646858,184.061167,-0.927087,0.186697
ERR562413,36.5533,-6.5669,5,0.8,5,20.5251,36.6324,,,0.078
ERR562693,18.5584,66.4725,25,180,2000,26.748267,36.369233,192.536833,-0.737324,0.242524
ERR562487,-16.953,53.9825,70,20,180,24.924556,34.899611,193.198222,0.244232,0.388691
ERR562502,39.8661,17.3868,60,20,180,15.979564,38.266721,220.961429,,0.178162
ERR562722,2.0574,-84.5546,5,180,2000,27.902167,33.17585,199.898917,0.451517,0.201947
ERR562692,-8.9748,-139.2091,115,20,180,25.740267,35.705141,182.899823,6.190604,0.303829
ERR562723,-12.9723,-96.0122,50,5,20,20.649431,35.544655,216.790338,1.501977,0.366887
ERR562521,-9.1504,-140.5216,5,3,20,26.518986,35.396729,190.724,5.111856,0.286662
ERR562406,5.9998,73.9067,80,0.8,5,27.723425,35.103505,132.77885,0.569531,0.388348
ERR562634,-47.2007,-57.9446,40,0.8,5,6.975635,34.057594,306.211529,17.111823,1.01772
ERR562459,-16.9581,-100.6588,5,20,180,22.76873,35.97144,208.8654,2.568726,0.203347
ERR562427,35.759,14.2574,5,5,20,21.4395,37.89245,207.791417,,0.048898
ERR562388,-35.1808,26.2879,5,180,2000,21.81684,35.44666,207.0439,,0.215292
ERR562712,39.0862,5.78,60,180,2000,15.946067,37.940067,,,0.407467
ERR562651,-8.9948,-139.2172,5,180,2000,26.5644,35.363833,186.984333,5.948386,0.138982
ERR562677,-9.0063,-139.1394,115,0.8,2000,24.69625,36.097575,179.916875,2.333576,0.295808
ERR562374,14.5644,70.0096,70,20,180,25.48675,36.27325,82.928,10.372569,0.348912
ERR562636,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562700,-8.9971,-139.1963,5,0.8,5,26.54413,35.3662,186.2407,3.986359,0.166512
ERR562566,39.1633,5.916,5,0.8,5,23.8526,37.9751,,,-0.0247
ERR562392,22.1233,38.1983,40,0.8,2000,27.13995,38.98795,184.704,0.04326,0.0366
ERR562386,-20.9354,-35.1803,5,0.8,5,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562515,33.9178,32.8849,5,20,180,20.45375,39.425058,207.567167,-0.74885,0.0084
ERR562537,-35.1728,26.2868,5,5,20,21.81684,35.44666,207.0439,,0.215292
ERR562585,33.9179,32.898,5,0.8,5,20.460612,39.425208,207.738375,-0.447961,0.01585
ERR562581,-32.12,17.6987,5,5,20,12.881967,34.849892,250.060667,0.517466,1.331539
ERR562611,-20.4091,-3.1759,5,0.8,5,19.776808,36.376225,215.650833,0.168013,0.324315
ERR562698,39.0609,5.9422,55,5,20,16.151933,37.8232,,,0.434367
ERR562576,2.0299,-84.5546,30,0.8,2000,26.532035,34.344808,203.127654,3.886605,0.737378
ERR562594,41.6686,2.7996,5,5,20,,,,,
